Step,AgentID,Steps to fire up
50,"(9, 79)",7
50,"(9, 80)",7
50,"(9, 81)",7
50,"(9, 83)",6
50,"(9, 84)",5
50,"(9, 85)",4
50,"(9, 88)",3
50,"(9, 90)",7
50,"(9, 92)",7
50,"(9, 93)",8
50,"(9, 94)",8
50,"(9, 96)",-1
50,"(10, 0)",7
50,"(10, 1)",7
50,"(10, 2)",7
50,"(10, 4)",10
50,"(10, 7)",13
50,"(10, 11)",-1
50,"(10, 12)",14
50,"(10, 13)",15
50,"(10, 14)",16
50,"(10, 16)",22
50,"(10, 18)",20
50,"(10, 19)",20
50,"(10, 20)",20
50,"(10, 22)",-1
50,"(10, 24)",-1
50,"(10, 26)",32
50,"(10, 28)",31
50,"(10, 29)",30
50,"(10, 30)",30
50,"(10, 36)",-1
50,"(10, 37)",-1
50,"(10, 40)",-1
50,"(10, 42)",-1
50,"(10, 44)",12
50,"(10, 45)",11
50,"(10, 46)",11
50,"(10, 50)",9
50,"(10, 53)",9
50,"(10, 55)",-1
50,"(10, 59)",4
50,"(10, 60)",4
50,"(10, 61)",7
50,"(10, 64)",8
50,"(10, 65)",8
50,"(10, 66)",8
50,"(10, 67)",9
50,"(10, 69)",9
50,"(10, 70)",9
50,"(10, 73)",8
50,"(10, 74)",9
50,"(10, 76)",8
50,"(10, 77)",7
50,"(10, 78)",7
50,"(10, 81)",7
50,"(10, 82)",6
50,"(10, 84)",5
50,"(10, 87)",4
50,"(10, 88)",4
50,"(10, 89)",4
50,"(10, 90)",5
50,"(10, 91)",6
50,"(10, 95)",-1
50,"(10, 96)",-1
50,"(10, 97)",-1
50,"(10, 98)",-1
50,"(10, 99)",-1
50,"(11, 0)",8
50,"(11, 1)",7
50,"(11, 4)",10
50,"(11, 6)",13
50,"(11, 7)",13
50,"(11, 11)",14
50,"(11, 15)",19
50,"(11, 16)",19
50,"(11, 17)",19
50,"(11, 19)",19
50,"(11, 21)",-1
50,"(11, 23)",-1
50,"(11, 24)",-1
50,"(11, 26)",32
50,"(11, 27)",31
50,"(11, 28)",31
50,"(11, 30)",28
50,"(11, 31)",29
50,"(11, 33)",-1
50,"(11, 36)",-1
50,"(11, 39)",-1
50,"(11, 40)",-1
50,"(11, 42)",14
50,"(11, 43)",13
50,"(11, 45)",11
50,"(11, 47)",11
50,"(11, 50)",9
50,"(11, 51)",9
50,"(11, 52)",9
50,"(11, 54)",8
50,"(11, 58)",4
50,"(11, 61)",5
50,"(11, 62)",6
50,"(11, 64)",7
50,"(11, 65)",7
50,"(11, 67)",9
50,"(11, 69)",9
50,"(11, 70)",9
50,"(11, 76)",9
50,"(11, 77)",8
50,"(11, 78)",8
50,"(11, 79)",8
50,"(11, 83)",7
50,"(11, 85)",6
50,"(11, 86)",5
50,"(11, 88)",4
50,"(11, 93)",-1
50,"(11, 94)",-1
50,"(11, 98)",-1
50,"(11, 99)",-1
50,"(12, 0)",8
50,"(12, 1)",8
50,"(12, 2)",8
50,"(12, 3)",9
50,"(12, 5)",13
50,"(12, 6)",13
50,"(12, 8)",13
50,"(12, 9)",14
50,"(12, 10)",14
50,"(12, 12)",15
50,"(12, 14)",17
50,"(12, 15)",17
50,"(12, 16)",18
50,"(12, 19)",19
50,"(12, 20)",-1
50,"(12, 21)",-1
50,"(12, 24)",-1
50,"(12, 27)",31
50,"(12, 29)",28
50,"(12, 30)",29
50,"(12, 31)",29
50,"(12, 35)",21
50,"(12, 41)",14
50,"(12, 45)",12
50,"(12, 48)",10
50,"(12, 49)",10
50,"(12, 51)",9
50,"(12, 53)",8
50,"(12, 55)",8
50,"(12, 57)",5
50,"(12, 58)",5
50,"(12, 59)",5
50,"(12, 60)",6
50,"(12, 62)",7
50,"(12, 63)",7
50,"(12, 64)",7
50,"(12, 65)",8
50,"(12, 67)",-1
50,"(12, 68)",-1
50,"(12, 73)",10
50,"(12, 74)",10
50,"(12, 76)",8
50,"(12, 77)",8
50,"(12, 78)",8
50,"(12, 79)",8
50,"(12, 81)",8
50,"(12, 82)",7
50,"(12, 83)",7
50,"(12, 84)",7
50,"(12, 86)",7
50,"(12, 87)",5
50,"(12, 88)",5
50,"(12, 89)",6
50,"(12, 90)",-1
50,"(12, 91)",-1
50,"(12, 92)",-1
50,"(12, 97)",-1
50,"(12, 98)",-1
50,"(12, 99)",-1
50,"(13, 5)",13
50,"(13, 6)",13
50,"(13, 8)",14
50,"(13, 9)",14
50,"(13, 11)",14
50,"(13, 12)",15
50,"(13, 14)",17
50,"(13, 15)",17
50,"(13, 16)",17
50,"(13, 17)",18
50,"(13, 18)",18
50,"(13, 22)",-1
50,"(13, 24)",40
50,"(13, 25)",40
50,"(13, 28)",27
50,"(13, 29)",-1
50,"(13, 30)",28
50,"(13, 31)",29
50,"(13, 33)",-1
50,"(13, 34)",21
50,"(13, 35)",20
50,"(13, 36)",21
50,"(13, 40)",15
50,"(13, 41)",15
50,"(13, 44)",13
50,"(13, 45)",13
50,"(13, 49)",11
50,"(13, 52)",-1
50,"(13, 54)",8
50,"(13, 55)",7
50,"(13, 56)",6
50,"(13, 57)",6
50,"(13, 60)",6
50,"(13, 61)",6
50,"(13, 62)",7
50,"(13, 64)",7
50,"(13, 65)",7
50,"(13, 70)",15
50,"(13, 71)",15
50,"(13, 73)",10
50,"(13, 74)",10
50,"(13, 75)",9
50,"(13, 78)",8
50,"(13, 79)",8
50,"(13, 83)",8
50,"(13, 84)",7
50,"(13, 85)",6
50,"(13, 86)",5
50,"(13, 89)",-1
50,"(13, 92)",-1
50,"(13, 94)",-1
50,"(13, 95)",-1
50,"(13, 97)",-1
50,"(13, 98)",-1
50,"(13, 99)",-1
50,"(14, 0)",17
50,"(14, 1)",16
50,"(14, 2)",16
50,"(14, 3)",16
50,"(14, 4)",14
50,"(14, 5)",14
50,"(14, 6)",14
50,"(14, 7)",14
50,"(14, 9)",14
50,"(14, 12)",15
50,"(14, 13)",16
50,"(14, 14)",16
50,"(14, 15)",17
50,"(14, 17)",18
50,"(14, 20)",-1
50,"(14, 21)",-1
50,"(14, 25)",39
50,"(14, 26)",40
50,"(14, 27)",26
50,"(14, 31)",29
50,"(14, 34)",21
50,"(14, 36)",20
50,"(14, 38)",-1
50,"(14, 41)",15
50,"(14, 42)",15
50,"(14, 43)",13
50,"(14, 45)",14
50,"(14, 46)",14
50,"(14, 47)",14
50,"(14, 51)",-1
50,"(14, 53)",8
50,"(14, 54)",8
50,"(14, 55)",8
50,"(14, 57)",7
50,"(14, 58)",7
50,"(14, 61)",7
50,"(14, 68)",14
50,"(14, 69)",14
50,"(14, 72)",15
50,"(14, 75)",10
50,"(14, 79)",9
50,"(14, 80)",-1
50,"(14, 82)",-1
50,"(14, 87)",-1
50,"(14, 88)",-1
50,"(14, 91)",-1
50,"(14, 93)",-1
50,"(14, 94)",-1
50,"(14, 95)",-1
50,"(14, 97)",-1
50,"(14, 99)",-1
50,"(15, 0)",17
50,"(15, 1)",16
50,"(15, 2)",16
50,"(15, 3)",15
50,"(15, 5)",14
50,"(15, 9)",15
50,"(15, 10)",15
50,"(15, 11)",16
50,"(15, 13)",16
50,"(15, 14)",17
50,"(15, 15)",18
50,"(15, 16)",18
50,"(15, 17)",18
50,"(15, 18)",18
50,"(15, 21)",38
50,"(15, 23)",39
50,"(15, 24)",39
50,"(15, 25)",39
50,"(15, 27)",25
50,"(15, 28)",26
50,"(15, 34)",21
50,"(15, 35)",20
50,"(15, 37)",19
50,"(15, 38)",19
50,"(15, 41)",-1
50,"(15, 42)",15
50,"(15, 44)",13
50,"(15, 45)",14
50,"(15, 48)",14
50,"(15, 50)",11
50,"(15, 53)",8
50,"(15, 54)",7
50,"(15, 56)",7
50,"(15, 58)",-1
50,"(15, 59)",8
50,"(15, 60)",8
50,"(15, 61)",8
50,"(15, 67)",14
50,"(15, 68)",14
50,"(15, 69)",14
50,"(15, 70)",15
50,"(15, 71)",14
50,"(15, 72)",13
50,"(15, 73)",12
50,"(15, 74)",10
50,"(15, 78)",-1
50,"(15, 79)",-1
50,"(15, 81)",-1
50,"(15, 82)",-1
50,"(15, 83)",-1
50,"(15, 84)",-1
50,"(15, 86)",-1
50,"(15, 88)",-1
50,"(15, 89)",-1
50,"(15, 90)",-1
50,"(15, 92)",-1
50,"(15, 93)",-1
50,"(15, 94)",-1
50,"(15, 96)",-1
50,"(15, 97)",-1
50,"(16, 1)",16
50,"(16, 2)",15
50,"(16, 3)",14
50,"(16, 4)",14
50,"(16, 6)",14
50,"(16, 7)",14
50,"(16, 8)",14
50,"(16, 10)",16
50,"(16, 11)",16
50,"(16, 18)",-1
50,"(16, 20)",38
50,"(16, 21)",37
50,"(16, 23)",39
50,"(16, 24)",39
50,"(16, 25)",-1
50,"(16, 28)",25
50,"(16, 29)",-1
50,"(16, 30)",23
50,"(16, 31)",23
50,"(16, 32)",22
50,"(16, 33)",21
50,"(16, 34)",20
50,"(16, 37)",18
50,"(16, 38)",19
50,"(16, 40)",-1
50,"(16, 42)",15
50,"(16, 48)",13
50,"(16, 49)",12
50,"(16, 51)",11
50,"(16, 52)",8
50,"(16, 53)",8
50,"(16, 55)",7
50,"(16, 58)",9
50,"(16, 59)",8
50,"(16, 61)",8
50,"(16, 63)",8
50,"(16, 65)",14
50,"(16, 66)",14
50,"(16, 67)",13
50,"(16, 70)",14
50,"(16, 71)",14
